uf,ano,turno,url
AC,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_AC_10102012014547.zip
AC,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_AC_30102012172126.zip
AL,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_AL_10102012014547.zip
AP,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_AP_10102012014547.zip
AP,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_AP_30102012172126.zip
AM,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_AM_10102012014547.zip
AM,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_AM_30102012172126.zip
BA,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_BA_10102012014547.zip
BA,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_BA_30102012172126.zip
CE,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_CE_10102012014547.zip
CE,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_CE_30102012172126.zip
ES,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_ES_10102012014547.zip
ES,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_ES_30102012172126.zip
GO,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_GO_10102012014547.zip
MA,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_MA_10102012014547.zip
MA,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_MA_30102012172126.zip
MT,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_MT_10102012014547.zip
MT,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_MT_30102012172126.zip
MS,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_MS_10102012014547.zip
MS,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_MS_30102012172126.zip
MG,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_MG_10102012014547.zip
MG,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_MG_30102012172126.zip
PA,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_PA_10102012014547.zip
PA,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_PA_30102012172126.zip
PB,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_PB_10102012014547.zip
PB,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_PB_30102012172126.zip
PR,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_PR_10102012014547.zip
PR,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_PR_30102012172126.zip
PE,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_PE_10102012014547.zip
PI,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_PI_10102012014547.zip
PI,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_PI_30102012172126.zip
RJ,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_RJ_10102012014547.zip
RJ,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_RJ_30102012172126.zip
RN,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_RN_10102012014547.zip
RN,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_RN_30102012172126.zip
RS,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_RS_10102012014547.zip
RS,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_RS_30102012172126.zip
RO,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_RO_10102012014547.zip
RO,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_RO_30102012172126.zip
RR,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_RR_10102012014547.zip
SC,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_SC_10102012014547.zip
SC,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_SC_30102012172126.zip
SP,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_SP_10102012014547.zip
SP,2012," Segundo turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_2t_SP_30102012172126.zip
SE,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_SE_10102012014547.zip
TO,2012," Primeiro turno<span class=""format",https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2012/buweb/bweb_1t_TO_10102012014547.zip
AC,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_AC_14102014131600.zip
AC,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_AC_28102014114450.zip
AL,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_AL_14102014131724.zip
AL,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_AL_28102014114941.zip
AP,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_AP_14102014132239.zip
AP,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_AP_28102014115835.zip
AM,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_AM_14102014131956.zip
AM,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_AM_28102014115349.zip
BA,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_BA_14102014132437.zip
BA,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_BA_28102014120236.zip
CE,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_CE_14102014132811.zip
CE,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_CE_28102014120643.zip
DF,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_DF_14102014133057.zip
DF,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_DF_28102014121036.zip
ES,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_ES_14102014133258.zip
ES,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_ES_28102014121431.zip
GO,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_GO_14102014133534.zip
GO,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_GO_28102014121839.zip
MA,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_MA_14102014133746.zip
MA,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_MA_28102014122307.zip
MT,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_MT_14102014134508.zip
MT,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_MT_28102014123633.zip
MS,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_MS_14102014134342.zip
MS,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_MS_28102014123155.zip
MG,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_MG_14102014133941.zip
MG,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_MG_28102014122730.zip
PA,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_PA_14102014134622.zip
PA,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_PA_28102014124021.zip
PB,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_PB_14102014134816.zip
PB,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_PB_28102014124426.zip
PR,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_PR_14102014135330.zip
PR,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_PR_28102014125604.zip
PE,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_PE_14102014134940.zip
PE,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_PE_28102014124827.zip
PI,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_PI_14102014135200.zip
PI,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_PI_28102014125213.zip
RJ,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_RJ_14102014135555.zip
RJ,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_RJ_28102014130047.zip
RN,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_RN_14102014140015.zip
RN,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_RN_28102014130526.zip
RS,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_RS_14102014140344.zip
RS,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_RS_28102014131811.zip
RO,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_RO_14102014140131.zip
RO,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_RO_28102014130948.zip
RR,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_RR_14102014140241.zip
RR,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_RR_28102014131402.zip
SC,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_SC_14102014140606.zip
SC,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_SC_28102014132154.zip
SP,2014, Primeiro turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_1t_SP_14102014140937.zip
SP,2014, Segundo turno ,https://cdn.tse.jus.br/estatistica/sead/eleicoes/eleicoes2014/buweb/bweb_2t_SP_28102014133018.zip
