UF,NM_MUNICIPIO,LOCAL_COD,POP2000_TOT,POP2010_TOT,POP2022_TOT,VAR_00-10,VAR_10-22
RR,AMAJARI,1400027,5294.0,9330.0,16994,76.23724971666037,82.14362272240085
RR,ALTO ALEGRE,1400050,17907.0,16286.0,23582,-9.052325906070251,44.79921404887634
RR,BOA VISTA,1400100,200568.0,284258.0,408157,41.726496749232176,43.58681198066545
RR,BONFIM,1400159,9326.0,10951.0,16169,17.42440488955608,47.648616564697285
RR,CANTA,1400175,8571.0,13778.0,18030,60.75137090187843,30.86079256786181
RR,CARACARAI,1400209,14286.0,18384.0,20780,28.68542629147417,13.03307223672759
RR,CAROEBE,1400233,5692.0,8114.0,10555,42.55094869992973,30.083805767808723
RR,IRACEMA,1400282,4781.0,8676.0,11000,81.4683120686049,26.78653757491932
RR,MUCAJAI,1400308,11247.0,14814.0,17058,31.715124033075487,15.147833130822194
RR,NORMANDIA,1400407,6138.0,8926.0,15264,45.421961550993814,71.0060497423258
RR,PACARAIMA,1400456,6990.0,10448.0,19317,49.47067238912732,84.88705972434916
RR,RORAINOPOLIS,1400472,17393.0,25587.0,29932,47.11090668659806,16.981279556024546
RR,SAO JOAO DA BALIZA,1400506,5091.0,6778.0,8011,33.13690826949519,18.19120684567719
RR,SAO LUIZ,1400605,5311.0,6750.0,6192,27.09470909433252,-8.266666666666666
RR,UIRAMUTA,1400704,5802.0,8147.0,13764,40.41709755256808,68.94562415613109
PE,ABREU E LIMA,2600054,89039.0,94428.0,99331,6.052404002740372,5.192315838522473
PE,AFOGADOS DA INGAZEIRA,2600104,32922.0,35091.0,40120,6.5882996172772,14.331310022512895
PE,AFRANIO,2600203,15014.0,17588.0,16486,17.14399893432796,-6.265635660677734
PE,AGRESTINA,2600302,20036.0,22680.0,23739,13.19624675583949,4.669312169312169
PE,AGUA PRETA,2600401,28531.0,33046.0,26473,15.82489222249483,-19.890455728378623
PE,AGUAS BELAS,2600500,36641.0,40007.0,41549,9.186430501350944,3.8543254930387185
PE,ALAGOINHA,2600609,12535.0,13761.0,13256,9.780614280015955,-3.669791439575612
PE,ALIANCA,2600708,37189.0,37414.0,35245,0.6050176127349485,-5.797295130165179
PE,ALTINHO,2600807,22131.0,22363.0,20657,1.0483032849848628,-7.628672360595627
PE,AMARAJI,2600906,21309.0,21925.0,18236,2.890797315688207,-16.825541619156215
PE,ANGELIM,2601003,9082.0,10204.0,9965,12.354107024884387,-2.342218737749902
PE,ARACOIABA,2601052,15108.0,18144.0,19314,20.095313741064334,6.4484126984126995
PE,ARARIPINA,2601102,70898.0,77363.0,85135,9.11873395582386,10.046146090508383
PE,ARCOVERDE,2601201,61600.0,69157.0,77660,12.267857142857142,12.295212342929855
PE,BARRA DE GUABIRABA,2601300,10939.0,12765.0,12299,16.69256787640552,-3.6506071288679984
PE,BARREIROS,2601409,39139.0,40720.0,39993,4.039449142798743,-1.7853634577603144
PE,BELEM DE MARIA,2601508,10626.0,11349.0,10339,6.804065499717674,-8.89946250770993
PE,BELEM DO SAO FRANCISCO,2601607,20208.0,20236.0,18321,0.13855898653998416,-9.46333267444159
PE,BELO JARDIM,2601706,68698.0,72412.0,79143,5.406270924917756,9.295420648511296
PE,BETANIA,2601805,11305.0,12005.0,11320,6.191950464396285,-5.705955851728446
PE,BEZERROS,2601904,57371.0,58675.0,61398,2.2729253455578604,4.6408180656156794
PE,BODOCO,2602001,31731.0,35178.0,34469,10.863193722227475,-2.015464210586162
PE,BOM CONSELHO,2602100,42085.0,45506.0,43577,8.128786978733515,-4.239001450358194
PE,BOM JARDIM,2602209,37013.0,37828.0,37190,2.2019290519547186,-1.6865813682986146
PE,BONITO,2602308,37750.0,37570.0,37953,-0.4768211920529801,1.0194303965930263
PE,BREJAO,2602407,8916.0,8851.0,9084,-0.7290264692687304,2.6324709072421197
PE,BREJINHO,2602506,7278.0,7307.0,7706,0.3984611156911239,5.460517312166416
PE,BREJO DA MADRE DE DEUS,2602605,38109.0,45192.0,48313,18.58616074942927,6.906089573375819
PE,BUENOS AIRES,2602704,12007.0,12537.0,12818,4.414091779795119,2.2413655579484724
PE,BUIQUE,2602803,44169.0,51990.0,49786,17.706989064728656,-4.239276783996923
PE,CABO DE SANTO AGOSTINHO,2602902,152977.0,185123.0,203084,21.01361642599868,9.702197998087758
PE,CABROBO,2603009,26741.0,30883.0,30695,15.489323510713884,-0.6087491500178092
PE,CACHOEIRINHA,2603108,17042.0,18833.0,19789,10.509329890857881,5.076196038867945
PE,CAETES,2603207,24137.0,26577.0,28848,10.108961345651904,8.544982503668585
PE,CALCADO,2603306,11709.0,11125.0,11113,-4.987616363481083,-0.10786516853932583
PE,CALUMBI,2603405,7079.0,5651.0,5241,-20.172340726091257,-7.255353034861087
PE,CAMARAGIBE,2603454,128702.0,144506.0,146912,12.279529455641715,1.664982768881569
PE,CAMOCIM DE SAO FELIX,2603504,15115.0,17104.0,17362,13.159113463446905,1.508419083255379
PE,CAMUTANGA,2603603,7844.0,8147.0,7764,3.8628250892401836,-4.701116975573831
PE,CANHOTINHO,2603702,24920.0,24536.0,24340,-1.5409309791332264,-0.7988262145418976
PE,CAPOEIRAS,2603801,19556.0,19593.0,18445,0.18920024544896707,-5.859235441229011
PE,CARNAIBA,2603900,17696.0,18585.0,18437,5.023734177215189,-0.7963411353241862
PE,CARNAUBEIRA DA PENHA,2603926,10404.0,11782.0,12226,13.244905805459439,3.768460363265999
PE,CARPINA,2604007,63811.0,74851.0,78865,17.301092288163485,5.36265380556038
PE,CARUARU,2604106,253634.0,314951.0,378180,24.175386580663474,20.075821318236805
