id,dataReferencia,valor,quantidadeBeneficiados,municipio.codigoIBGE,municipio.nomeIBGE,municipio.codigoRegiao,municipio.nomeRegiao,municipio.pais,municipio.uf.sigla,municipio.uf.nome,tipo.id,tipo.descricao,tipo.descricaoDetalhada
901256,2022-06-01,573954.0,1672,1400027,AMAJARI,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
21101441,2022-06-01,462816.0,2179,1400050,ALTO ALEGRE,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
4801338,2022-06-01,4524726.0,20028,1400100,BOA VISTA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
17301208,2022-06-01,845231.0,2672,1400159,BONFIM,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
1301356,2022-06-01,982338.0,3238,1400175,CANTÁ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
2001295,2022-06-01,905395.0,3180,1400209,CARACARAÍ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
9701186,2022-06-01,415583.0,1532,1400233,CAROEBE,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
28701398,2022-06-01,333861.0,1404,1400282,IRACEMA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
28101066,2022-06-01,902223.0,3557,1400308,MUCAJAÍ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
8801467,2022-06-01,945589.0,2200,1400407,NORMANDIA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
17301102,2022-06-01,518273.0,1550,1400456,PACARAIMA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
4201046,2022-06-01,1034682.0,3763,1400472,RORAINÓPOLIS,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
20901245,2022-06-01,241856.0,956,1400506,SÃO JOÃO DA BALIZA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
13401258,2022-06-01,309327.0,1229,1400605,SÃO LUIZ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
22101168,2022-06-01,902436.0,1680,1400704,UIRAMUTÃ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
8201257,2022-06-01,3250863.0,17604,2600054,ABREU E LIMA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
17801171,2022-06-01,995829.0,5672,2600104,AFOGADOS DA INGAZEIRA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
6901435,2022-06-01,1168397.0,4710,2600203,AFRÂNIO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
16501397,2022-06-01,1292935.0,4795,2600302,AGRESTINA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
12401368,2022-06-01,845127.0,4915,2600401,ÁGUA PRETA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
