address_components,formatted_address,partial_match,place_id,types,geometry.bounds.northeast.lat,geometry.bounds.northeast.lng,geometry.bounds.southwest.lat,geometry.bounds.southwest.lng,geometry.location.lat,geometry.location.lng,geometry.location_type,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,former_id,maps_query,plus_code.compound_code,plus_code.global_code
"[{'long_name': 'São Luiz', 'short_name': 'São Luiz', 'types': ['locality', 'political']}, {'long_name': 'São Luiz', 'short_name': 'São Luiz', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69370-000', 'short_name': '69370-000', 'types': ['postal_code']}]","São Luiz, RR, 69370-000, Brazil",True,ChIJZ0augOf5i40RyDLEMD8Wt28,"['locality', 'political']",1.0257376,-60.0324507,1.0059677,-60.0526879,1.0123743,-60.03762549999999,APPROXIMATE,1.0257376,-60.0324507,1.0059677,-60.0526879,0,"ALDEIA DO RIO ANAUA,ALDEIA DO RIO ANAUA S/N INTERIOR,RURAL,SÃO LUIZ,RR",,
"[{'long_name': 'Doutor Airton Rocha', 'short_name': 'Dr. Airton Rocha', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Boa Vista', 'short_name': 'Boa Vista', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69316-274', 'short_name': '69316-274', 'types': ['postal_code']}]","Avenida A, s/n - Dr. Airton Rocha, Boa Vista - RR, 69316-274, Brazil",True,ChIJdXqw8mkDk40Rtr-tAePMnMY,"['establishment', 'point_of_interest', 'school']",,,,,2.7606788,-60.74323510000001,GEOMETRIC_CENTER,2.762101230291502,-60.7417920697085,2.759403269708498,-60.74449003029151,1,"LAUCIDES INÁCIO DE OLIVEIRA E. M.,AV A, S/N  - BAIRRO DR. AIRTON ROCHA - CONJ. PEROLA,DR. AIRTON ROCHA,BOA VISTA,RR","Q764+7P Doutor Airton Rocha, Boa Vista - RR, Brazil",67JXQ764+7P
"[{'long_name': 'Rua Doctor Airton Rocha', 'short_name': 'Rua Dr. Airton Rocha', 'types': ['route']}, {'long_name': 'Doutor Silvio Leite', 'short_name': 'Dr. Silvio Leite', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Boa Vista', 'short_name': 'Boa Vista', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69318', 'short_name': '69318', 'types': ['postal_code', 'postal_code_prefix']}]","Rua Dr. Airton Rocha - Dr. Silvio Leite, Boa Vista - RR, 69318, Brazil",True,ChIJ7aDoLA4Fk40RQ4miuGiZf3M,['route'],2.8204607,-60.7345087,2.817138,-60.73559819999999,2.8189451,-60.7352018,GEOMETRIC_CENTER,2.8204607,-60.73370446970849,2.817138,-60.73640243029151,1,"LAUCIDES INÁCIO DE OLIVEIRA E. M.,AV A, S/N  - BAIRRO DR. AIRTON ROCHA - CONJ. PEROLA,DR. AIRTON ROCHA,BOA VISTA,RR",,
"[{'long_name': 'Cantá', 'short_name': 'Cantá', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'State of Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69390-000', 'short_name': '69390-000', 'types': ['postal_code']}]","Cantá - State of Roraima, 69390-000, Brazil",True,ChIJYbHpbRSIko0RPjr_3DTlQAI,"['administrative_area_level_2', 'political']",2.8849078,-60.14941320000001,1.7063476,-61.0529922,2.6101056,-60.6011329,APPROXIMATE,2.8849078,-60.14941320000001,1.7063476,-61.0529922,2,"OTILIA SOUSA PINTO E.E.,AV AMAZONAS (BR-432), CONFIANÇA III - VILA UNIAO,RURAL,CANTÁ,RR",,
"[{'long_name': 'Bonfim', 'short_name': 'Bonfim', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'State of Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69380-000', 'short_name': '69380-000', 'types': ['postal_code']}]","Bonfim - State of Roraima, 69380-000, Brazil",True,ChIJ_W-2R-DIk40RCNsBKaU7USQ,"['administrative_area_level_2', 'political']",3.5862892,-59.71982399999999,1.999634,-60.56828590000001,3.3612953,-59.836575,APPROXIMATE,3.5862892,-59.71982399999999,1.999634,-60.56828590000001,3,"ALDENORA RIBEIRO E.M,AV BOA VISTA, S/N, VILA VILENA,RURAL,BONFIM,RR",,
"[{'long_name': 'Mucajaí', 'short_name': 'Mucajaí', 'types': ['locality', 'political']}, {'long_name': 'Mucajaí', 'short_name': 'Mucajaí', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69340-000', 'short_name': '69340-000', 'types': ['postal_code']}]","Mucajaí, RR, 69340-000, Brazil",True,ChIJteLyni6Vko0RzSNFapR0WEY,"['locality', 'political']",2.4620398,-60.89762080000001,2.4179099,-60.9407331,2.4470932,-60.91878449999999,APPROXIMATE,2.4620398,-60.89762080000001,2.4179099,-60.9407331,4,"MARIA MARISELMA DE OLIVEIRA CRUZ,AV DEUSDETE SOARES MEDRADA,SAGRADA FAMÍLIA,MUCAJAÍ,RR",,
"[{'long_name': 'Cidade Satélite', 'short_name': 'Cidade Satélite', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Boa Vista', 'short_name': 'Boa Vista', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Cidade Satélite, Boa Vista - RR, Brazil",True,ChIJ91Efg2AFk40R49ABXsPIAY4,"['political', 'sublocality', 'sublocality_level_1']",2.8689169,-60.7252518,2.8362481,-60.7588579,2.8470453,-60.7494514,APPROXIMATE,2.8689169,-60.7252518,2.8362481,-60.7588579,5,"PROFESSORA GLEMÍRIA GONZAGA ANDRADE E.M.,AV DO SOL, 395 - 3627-4579,CIDADE SATÉLITE,BOA VISTA,RR",,
"[{'long_name': 'Avenida Doutor Zany', 'short_name': 'Av. Dr. Zany', 'types': ['route']}, {'long_name': 'Caracaraí', 'short_name': 'Caracaraí', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69360-000', 'short_name': '69360-000', 'types': ['postal_code']}]","Av. Dr. Zany, Caracaraí - RR, 69360-000, Brazil",True,ChIJXRBeavA5jY0RirJNKH7kMNg,['route'],1.8355549,-61.1199309,1.7991635,-61.134494,1.8172089,-61.1276426,GEOMETRIC_CENTER,1.8355549,-61.1199309,1.7991635,-61.134494,6,"GUARDA MUNICIPAL DE CARACARAÍ,AV DR ZANNY, S/N,CENTRO,CARACARAÍ,RR",,
"[{'long_name': 'Vila Tepequém', 'short_name': 'Vila Tepequém', 'types': ['locality', 'political']}, {'long_name': 'Amajari', 'short_name': 'Amajari', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69343-000', 'short_name': '69343-000', 'types': ['postal_code']}]","Vila Tepequém, Amajari - RR, 69343-000, Brazil",True,ChIJfydj3OsY640RYgaPOkuTYSQ,"['locality', 'political']",,,,,3.7809139,-61.72944870000001,APPROXIMATE,3.782262880291502,-61.7280997197085,3.779564919708498,-61.73079768029151,7,"OLAVO BILAC E.P.,AV JOSÉ ALTINO PEREIRA,VILA DO TEPEQUÉM,AMAJARI,RR",,
"[{'long_name': '1000', 'short_name': '1000', 'types': ['street_number']}, {'long_name': 'Rua Major Ecildon Pinto', 'short_name': 'R. Maj. Ecildon Pinto', 'types': ['route']}, {'long_name': 'Senador Hélio Campos', 'short_name': 'Sen. Hélio Campos', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Boa Vista', 'short_name': 'Boa Vista', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69318-020', 'short_name': '69318-020', 'types': ['postal_code']}]","R. Maj. Ecildon Pinto, 1000 - Sen. Hélio Campos, Boa Vista - RR, 69318-020, Brazil",True,ChIJi73pAzEbk40R_HTxOGwvHt8,"['establishment', 'point_of_interest', 'school']",,,,,2.7979568,-60.7763593,ROOFTOP,2.799427630291502,-60.7748958197085,2.796729669708498,-60.7775937802915,8,"RAIMUNDO ELOY GOMES E.M.,AV MAJOR ELCIDON PINTO, 1000 - 3628-2574,LAURA MOREIRA - CONJ. CIDADÃO,BOA VISTA,RR","Q6XF+5F Senador Hélio Campos, Boa Vista - RR, Brazil",67JXQ6XF+5F
