Zona,Municípios,Telefone/Fax,Email,Endereço/Bairro,Cep
1ªZona,FORTALEZA(SEDE),8532112611/8532112614,ze001@tre-ce.jus.br,"RUA JAIME BENÉVOLO, 21 - FORUM ELEITORAL/Bairro: CENTRO",60050080
Juiz(a) Eleitoral,Chefe de Cartorio
ANTONIO CARLOS PINHEIRO KLEIN FILHO,EDIVALDO DOS SANTOS CARDOSO
Cód. Local,Zona/Municipio Local,Local,Endereço/Bairro,CEP,Aptos,Quant. Seções
1074,1ª Zona/FORTALEZA,"BNB CLUBE","AVENIDA  SANTOS DUMONT  3646/Bairro: ALDEOTA",60150162,6458,16
Seções,Aptos
33,439
34,458
35,449
36,439
37,459
38,448
39,455
815,432
889,393
906,393
910,392
913,397
917,396
924,397
928,395
931,116
Zona,Municípios,Telefone/Fax,Email,Endereço/Bairro,Cep
1ªZona,FORTALEZA(SEDE),8532112611/8532112614,ze001@tre-ce.jus.br,"RUA JAIME BENÉVOLO, 21 - FORUM ELEITORAL/Bairro: CENTRO",60050080
Juiz(a) Eleitoral,Chefe de Cartorio
ANTONIO CARLOS PINHEIRO KLEIN FILHO,EDIVALDO DOS SANTOS CARDOSO
Cód. Local,Zona/Municipio Local,Local,Endereço/Bairro,CEP,Aptos,Quant. Seções
1287,1ª Zona/FORTALEZA,"ESCOLA ESTADUAL ARQUITETO ROGERIO FROES","AVENIDA DAS GRAVIOLAS 1000/Bairro: CIDADE 2000",60190600,7228,18
Seções,Aptos
136,403
137,399
138,402
139,412
140,402
141,399
142,403
143,413
144,422
145,399
146,399
577,398
590,397
607,397
632,398
770,395
799,396
830,394
Zona,Municípios,Telefone/Fax,Email,Endereço/Bairro,Cep
1ªZona,FORTALEZA(SEDE),8532112611/8532112614,ze001@tre-ce.jus.br,"RUA JAIME BENÉVOLO, 21 - FORUM ELEITORAL/Bairro: CENTRO",60050080
Juiz(a) Eleitoral,Chefe de Cartorio
ANTONIO CARLOS PINHEIRO KLEIN FILHO,EDIVALDO DOS SANTOS CARDOSO
Cód. Local,Zona/Municipio Local,Local,Endereço/Bairro,CEP,Aptos,Quant. Seções
1759,1ª Zona/FORTALEZA,"ESCOLA ESTADUAL MATIAS BECK","RUA  PROFESSORA AIDA BALAIO 38/Bairro: MUCURIPE",60176390,4045,10
Seções,Aptos
343,406
344,405
345,410
346,402
496,406
592,405
710,403
740,400
778,404
899,404
Zona,Municípios,Telefone/Fax,Email,Endereço/Bairro,Cep
1ªZona,FORTALEZA(SEDE),8532112611/8532112614,ze001@tre-ce.jus.br,"RUA JAIME BENÉVOLO, 21 - FORUM ELEITORAL/Bairro: CENTRO",60050080
Juiz(a) Eleitoral,Chefe de Cartorio
ANTONIO CARLOS PINHEIRO KLEIN FILHO,EDIVALDO DOS SANTOS CARDOSO
Cód. Local,Zona/Municipio Local,Local,Endereço/Bairro,CEP,Aptos,Quant. Seções
1767,1ª Zona/FORTALEZA,"ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO","AVENIDA DA ABOLIÇÃO 3984/Bairro: MUCURIPE",60165082,4061,11
Seções,Aptos
347,370
348,372
349,370
350,370
351,368
352,367
353,380
510,366
554,366
599,366
628,366
Zona,Municípios,Telefone/Fax,Email,Endereço/Bairro,Cep
1ªZona,FORTALEZA(SEDE),8532112611/8532112614,ze001@tre-ce.jus.br,"RUA JAIME BENÉVOLO, 21 - FORUM ELEITORAL/Bairro: CENTRO",60050080
Juiz(a) Eleitoral,Chefe de Cartorio
ANTONIO CARLOS PINHEIRO KLEIN FILHO,EDIVALDO DOS SANTOS CARDOSO
Cód. Local,Zona/Municipio Local,Local,Endereço/Bairro,CEP,Aptos,Quant. Seções
1783,1ª Zona/FORTALEZA,"ESCOLA ESTADUAL DRAGAO DO MAR","RUA UMARI S/N/Bairro: MUCURIPE",60175280,2935,8
Seções,Aptos
354,375
355,374
356,364
520,359
761,362
816,359
851,363
897,379
Zona,Municípios,Telefone/Fax,Email,Endereço/Bairro,Cep
1ªZona,FORTALEZA(SEDE),8532112611/8532112614,ze001@tre-ce.jus.br,"RUA JAIME BENÉVOLO, 21 - FORUM ELEITORAL/Bairro: CENTRO",60050080
Juiz(a) Eleitoral,Chefe de Cartorio
ANTONIO CARLOS PINHEIRO KLEIN FILHO,EDIVALDO DOS SANTOS CARDOSO
Cód. Local,Zona/Municipio Local,Local,Endereço/Bairro,CEP,Aptos,Quant. Seções
1791,1ª Zona/FORTALEZA,"IATE CLUBE","AVENIDA DA ABOLIÇÃO 4813/Bairro: MUCURIPE",60165082,2601,6
Seções,Aptos
357,449
358,432
359,440
690,435
691,421
825,424
Zona,Municípios,Telefone/Fax,Email,Endereço/Bairro,Cep
1ªZona,FORTALEZA(SEDE),8532112611/8532112614,ze001@tre-ce.jus.br,"RUA JAIME BENÉVOLO, 21 - FORUM ELEITORAL/Bairro: CENTRO",60050080
Juiz(a) Eleitoral,Chefe de Cartorio
ANTONIO CARLOS PINHEIRO KLEIN FILHO,EDIVALDO DOS SANTOS CARDOSO
Cód. Local,Zona/Municipio Local,Local,Endereço/Bairro,CEP,Aptos,Quant. Seções
1880,1ª Zona/FORTALEZA,"ESCOLA ESTADUAL DEPUTADO MANOEL RODRIGUES","RUA OLIVEIRA FILHO, 1576/Bairro: VICENTE PINZON",60181810,2475,7
Seções,Aptos
386,420
387,413
388,405
389,421
866,395
872,396
938,25
Zona,Municípios,Telefone/Fax,Email,Endereço/Bairro,Cep
1ªZona,FORTALEZA(SEDE),8532112611/8532112614,ze001@tre-ce.jus.br,"RUA JAIME BENÉVOLO, 21 - FORUM ELEITORAL/Bairro: CENTRO",60050080
Juiz(a) Eleitoral,Chefe de Cartorio
ANTONIO CARLOS PINHEIRO KLEIN FILHO,EDIVALDO DOS SANTOS CARDOSO
Cód. Local,Zona/Municipio Local,Local,Endereço/Bairro,CEP,Aptos,Quant. Seções
1899,1ª Zona/FORTALEZA,"CIES AIDA SANTOS","AVENIDA TRAJANO DE MEDEIROS  813/Bairro: VICENTE PINZON",60182185,3227,8
Seções,Aptos
391,407
392,418
393,416
394,409
395,399
546,389
662,393
717,396
Zona,Municípios,Telefone/Fax,Email,Endereço/Bairro,Cep
1ªZona,FORTALEZA(SEDE),8532112611/8532112614,ze001@tre-ce.jus.br,"RUA JAIME BENÉVOLO, 21 - FORUM ELEITORAL/Bairro: CENTRO",60050080
Juiz(a) Eleitoral,Chefe de Cartorio
ANTONIO CARLOS PINHEIRO KLEIN FILHO,EDIVALDO DOS SANTOS CARDOSO
Cód. Local,Zona/Municipio Local,Local,Endereço/Bairro,CEP,Aptos,Quant. Seções
1902,1ª Zona/FORTALEZA,"ESCOLA MUNICIPAL SAO VICENTE DE PAULO","AVENIDA ZEZE DIOGO 1247/Bairro: CAIS DO PORTO",60180000,1743,5
Seções,Aptos
396,341
397,348
398,351
399,347
400,356
Zona,Municípios,Telefone/Fax,Email,Endereço/Bairro,Cep
1ªZona,FORTALEZA(SEDE),8532112611/8532112614,ze001@tre-ce.jus.br,"RUA JAIME BENÉVOLO, 21 - FORUM ELEITORAL/Bairro: CENTRO",60050080
Juiz(a) Eleitoral,Chefe de Cartorio
ANTONIO CARLOS PINHEIRO KLEIN FILHO,EDIVALDO DOS SANTOS CARDOSO
Cód. Local,Zona/Municipio Local,Local,Endereço/Bairro,CEP,Aptos,Quant. Seções
2046,1ª Zona/FORTALEZA,"ESCOLA ESTADUAL  BARBARA DE ALENCAR","RUA PEDRO RUFINO 38/Bairro: VARJOTA",60175100,4001,11
Seções,Aptos
50,362
461,368
462,357
463,365
464,377
