Zona;Localidade;Bairro;Nr Local;Local de Votação;Endereço;Seção;Agregadas;Qtd Aptos
1;BOA VISTA;AEROPORTO;2860;COLÉGIO DE APLICAÇÃO-CAP - UFRR;AV. CAP. ENE GARCEZ, 246 - CAMPUS DE PARICARANA;327; ;353
1;BOA VISTA;AEROPORTO;2860;COLÉGIO DE APLICAÇÃO-CAP - UFRR;AV. CAP. ENE GARCEZ, 246 - CAMPUS DE PARICARANA;355; ;360
1;BOA VISTA;AEROPORTO;2860;COLÉGIO DE APLICAÇÃO-CAP - UFRR;AV. CAP. ENE GARCEZ, 246 - CAMPUS DE PARICARANA;540; ;347
1;BOA VISTA;AEROPORTO;2860;COLÉGIO DE APLICAÇÃO-CAP - UFRR;AV. CAP. ENE GARCEZ, 246 - CAMPUS DE PARICARANA;563; ;341
1;BOA VISTA;AEROPORTO;2860;COLÉGIO DE APLICAÇÃO-CAP - UFRR;AV. CAP. ENE GARCEZ, 246 - CAMPUS DE PARICARANA;780; ;143
1;BOA VISTA;AEROPORTO;3247;SESI;RUA BRIGADEIRO EDUARDO GOMES, 3710;42;51;398
1;BOA VISTA;AEROPORTO;3247;SESI;RUA BRIGADEIRO EDUARDO GOMES, 3710;156;240;395
1;BOA VISTA;AEROPORTO;3247;SESI;RUA BRIGADEIRO EDUARDO GOMES, 3710;295; ;201
1;BOA VISTA;AEROPORTO;3247;SESI;RUA BRIGADEIRO EDUARDO GOMES, 3710;497;523;398
1;BOA VISTA;APARECIDA;1015;PENHA BRASIL E.E.;RUA JUSCELINO KUBITSCHEK, 926;1; ;314
1;BOA VISTA;APARECIDA;1015;PENHA BRASIL E.E.;RUA JUSCELINO KUBITSCHEK, 926;2; ;311
1;BOA VISTA;APARECIDA;1015;PENHA BRASIL E.E.;RUA JUSCELINO KUBITSCHEK, 926;3; ;300
1;BOA VISTA;APARECIDA;1015;PENHA BRASIL E.E.;RUA JUSCELINO KUBITSCHEK, 926;4; ;304
1;BOA VISTA;APARECIDA;1015;PENHA BRASIL E.E.;RUA JUSCELINO KUBITSCHEK, 926;5; ;304
1;BOA VISTA;APARECIDA;1015;PENHA BRASIL E.E.;RUA JUSCELINO KUBITSCHEK, 926;6; ;304
1;BOA VISTA;APARECIDA;1015;PENHA BRASIL E.E.;RUA JUSCELINO KUBITSCHEK, 926;421; ;315
1;BOA VISTA;APARECIDA;1015;PENHA BRASIL E.E.;RUA JUSCELINO KUBITSCHEK, 926;514; ;318
1;BOA VISTA;APARECIDA;1015;PENHA BRASIL E.E.;RUA JUSCELINO KUBITSCHEK, 926;550; ;313
1;BOA VISTA;APARECIDA;2780;CENTENARIO DE BOA VISTA E.M.;RUA JOAO PEREIRA CALDAS 460;362; ;339
1;BOA VISTA;APARECIDA;2780;CENTENARIO DE BOA VISTA E.M.;RUA JOAO PEREIRA CALDAS 460;513; ;334
1;BOA VISTA;APARECIDA;2780;CENTENARIO DE BOA VISTA E.M.;RUA JOAO PEREIRA CALDAS 460;551; ;336
1;BOA VISTA;APARECIDA;2780;CENTENARIO DE BOA VISTA E.M.;RUA JOAO PEREIRA CALDAS 460;783; ;165
1;BOA VISTA;ASA BRANCA;3425;COLÉGIO ESTADUAL MILITARIZADO JACEGUAI REIS CUNHA E.E.P.G.;RUA MESTRE ALBANO 2545;585; ;330
1;BOA VISTA;ASA BRANCA;3425;COLÉGIO ESTADUAL MILITARIZADO JACEGUAI REIS CUNHA E.E.P.G.;RUA MESTRE ALBANO 2545;586; ;339
1;BOA VISTA;ASA BRANCA;3425;COLÉGIO ESTADUAL MILITARIZADO JACEGUAI REIS CUNHA E.E.P.G.;RUA MESTRE ALBANO 2545;587; ;340
1;BOA VISTA;ASA BRANCA;3425;COLÉGIO ESTADUAL MILITARIZADO JACEGUAI REIS CUNHA E.E.P.G.;RUA MESTRE ALBANO 2545;588; ;338
1;BOA VISTA;ASA BRANCA;3425;COLÉGIO ESTADUAL MILITARIZADO JACEGUAI REIS CUNHA E.E.P.G.;RUA MESTRE ALBANO 2545;589; ;335
1;BOA VISTA;ASA BRANCA;3425;COLÉGIO ESTADUAL MILITARIZADO JACEGUAI REIS CUNHA E.E.P.G.;RUA MESTRE ALBANO 2545;590; ;335
1;BOA VISTA;ASA BRANCA;3433;MENINO JESUS P.E.;RUA LINDOLFO BERNARDO COUTINHO, 330;591; ;220
1;BOA VISTA;ASA BRANCA;3433;MENINO JESUS P.E.;RUA LINDOLFO BERNARDO COUTINHO, 330;592; ;219
1;BOA VISTA;ASA BRANCA;3433;MENINO JESUS P.E.;RUA LINDOLFO BERNARDO COUTINHO, 330;593; ;217
1;BOA VISTA;ASA BRANCA;3433;MENINO JESUS P.E.;RUA LINDOLFO BERNARDO COUTINHO, 330;594; ;218
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;595; ;217
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;596; ;215
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;597; ;217
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;598; ;211
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;599; ;216
